2018-05-09 13:57:31,721, feature_set, program, baseline, optimal, one_runtime, five_runtime, one_speedup, five_speedup, optimal_speedup, step
2018-05-10 14:19:07,515, STATIC, cBench_network_patricia_1, 0.01610000000000000000479217360, 0.004100000000000000004792173602, 0.008100000000000000004792173602, 0.008100000000000000004792173602, 1.987654320987654320403331979, 1.987654320987654320403331979, 3.926829268292682923408323425, 101
2018-05-10 14:19:09,031, STATIC, cBench_network_patricia_2, 0.01610000000000000000479217360, 0.004100000000000000004792173602, 0.008100000000000000004792173602, 0.008100000000000000004792173602, 1.987654320987654320403331979, 1.987654320987654320403331979, 3.926829268292682923408323425, 101
2018-05-10 14:19:10,516, STATIC, cBench_network_patricia_3, 0.02410000000000000000479217360, 0.008100000000000000004792173602, 0.01610000000000000000479217360, 0.01610000000000000000479217360, 1.496894409937888198609863089, 1.496894409937888198609863089, 2.975308641975308640806663959, 101
2018-05-10 14:19:11,939, STATIC, cBench_network_patricia_4, 0.03210000000000000000479217360, 0.01210000000000000000479217360, 0.02010000000000000000479217360, 0.01610000000000000000479217360, 1.597014925373134328215870688, 1.993788819875776397219726177, 2.652892561983471073725541479, 101
2018-05-10 14:19:13,495, STATIC, cBench_network_patricia_5, 0.06010000000000000000479217360, 0.01610000000000000000479217360, 0.03210000000000000000479217360, 0.02410000000000000000479217360, 1.872274143302180685228034607, 2.493775933609958505927035950, 3.732919254658385092354246987, 101
2018-05-10 14:30:39,001, STATIC, cBench_automotive_susan_s_1, 21.23610000000000000000479217, 4.912100000000000000004792174, 5.400100000000000000004792174, 5.228100000000000000004792174, 3.932538286328030962386982975, 4.061915418603316692485860401, 4.323222247104089900446667319, 101
2018-05-10 14:32:02,053, STATIC, cBench_automotive_susan_s_2, 25.19210000000000000000479217, 6.000100000000000000004792174, 6.108100000000000000004792174, 6.272100000000000000004792174, 4.124375828817471881597391569, 4.016533537411712185709019984, 4.198613356444059265676350675, 101
2018-05-10 14:35:03,208, STATIC, cBench_automotive_susan_s_3, 59.65210000000000000000479217, 13.63210000000000000000479217, 13.92010000000000000000479217, 14.14810000000000000000479217, 4.285321226140616805912619606, 4.216262254295629801880435332, 4.375855517491802436894082520, 101
2018-05-10 14:35:24,316, STATIC, cBench_automotive_susan_s_4, 5.392100000000000000004792174, 1.268100000000000000004792174, 1.400100000000000000004792174, 1.268100000000000000004792174, 3.851224912506249553593555056, 4.252109455090292563665653596, 4.252109455090292563665653596, 101
2018-05-10 14:38:22,715, STATIC, cBench_automotive_susan_s_5, 56.55610000000000000000479217, 13.03210000000000000000479217, 13.74010000000000000000479217, 13.45610000000000000000479217, 4.116134525949592797722364972, 4.203008301067917152814311029, 4.339753378196913774448016462, 101
2018-05-10 14:47:43,162, STATIC, cBench_consumer_jpeg_d_1, 0.1081000000000000000047921736, 0.05610000000000000000479217360, 0.1641000000000000000047921736, 0.09210000000000000000479217360, 0.6587446678854357099429333016, 1.173724212812160694887811981, 1.926916221033868092612443076, 101
2018-05-10 14:48:07,148, STATIC, cBench_consumer_jpeg_d_2, 0.2281000000000000000047921736, 0.08410000000000000000479217360, 0.2441000000000000000047921736, 0.1441000000000000000047921736, 0.9344530929946743138071041055, 1.582928521859819569723848059, 2.712247324613555291222290292, 101
2018-05-10 14:51:17,262, STATIC, cBench_consumer_jpeg_d_3, 24.20010000000000000000479217, 11.30810000000000000000479217, 24.21610000000000000000479217, 12.38010000000000000000479217, 0.9993392825434318490590971778, 1.954758039111154190999703123, 2.140067739054306205285992926, 101
2018-05-10 14:51:46,152, STATIC, cBench_consumer_jpeg_d_4, 0.8321000000000000000047921736, 0.3321000000000000000047921736, 0.8721000000000000000047921736, 0.4921000000000000000047921736, 0.9541337002637312234837974995, 1.690916480390164600684188190, 2.505570611261668172215552678, 101
2018-05-10 14:52:08,897, STATIC, cBench_consumer_jpeg_d_5, 0.05210000000000000000479217360, 0.01610000000000000000479217360, 0.04810000000000000000479217360, 0.03210000000000000000479217360, 1.083160083160083160074874895, 1.623052959501557632305739005, 3.236024844720496893744383899, 101
2018-05-10 15:00:06,906, STATIC, cBench_consumer_tiffmedian_1, 0.2161000000000000000047921736, 0.1001000000000000000047921736, 0.1521000000000000000047921736, 0.1561000000000000000047921736, 1.420775805391190006561364690, 1.384368994234465086471223812, 2.158841158841158841103362957, 101
2018-05-10 15:00:33,099, STATIC, cBench_consumer_tiffmedian_2, 0.3321000000000000000047921736, 0.1521000000000000000047921736, 0.3081000000000000000047921736, 0.2321000000000000000047921736, 1.077896786757546251215925690, 1.430848772080999569142332175, 2.183431952662721893453838190, 101
2018-05-10 15:01:34,043, STATIC, cBench_consumer_tiffmedian_3, 6.800100000000000000004792174, 5.232100000000000000004792174, 6.720100000000000000004792174, 5.320100000000000000004792174, 1.011904584753203077335150214, 1.278190259581586812277714115, 1.299688461611972248236571136, 101
2018-05-10 15:02:01,320, STATIC, cBench_consumer_tiffmedian_4, 0.4601000000000000000047921736, 0.3201000000000000000047921736, 0.6001000000000000000047921736, 0.4401000000000000000047921736, 0.7667055490751541409783669180, 1.045444217223358327652311346, 1.437363323961262105585454792, 101
2018-05-10 15:02:25,818, STATIC, cBench_consumer_tiffmedian_5, 0.2841000000000000000047921736, 0.1201000000000000000047921736, 0.2521000000000000000047921736, 0.1881000000000000000047921736, 1.126933756445854819513652167, 1.510366826156299840497364346, 2.365528726061615320511708154, 101
